domain,rank,favicon_url
http://www.mctdirect.com,199999,http://www.mctdirect.com/favicon.ico
http://www.plans.ru,199998,http://www.plans.ru/favicon.ico
http://www.bankindia.org,199997,http://www.bankindia.org/favicon.ico
http://www.uncova.com,199996,http://www.uncova.com/favicon.ico
http://www.solutionjeux.info,199995,https://solutionjeux.info/wp-content/uploads/2015/11/favicon.png
http://www.chronosworld.com,199994,http://www.chronosworld.com/./imgs/favicon.ico
http://www.thetax.nl,199993,http://www.thetax.nl/favicon.png
http://www.platinumcheats.net,199991,https://pc-content-nocookie.platinumdigitalgroup.net/assets/favicon-3eff6d5988c1c15b28fb0c19b15721bd.ico
http://www.pacificcollege.edu,199989,http://www.pacificcollege.edu/favicon.ico
http://www.stlpublicradio.org,199988,http://www.stlpublicradio.org/favicon.ico
http://www.bardot.com,199984,http://www.bardot.com/favicon.ico
http://www.alta-profil.ru,199983,http://www.alta-profil.ru/favicon.ico
http://www.jumpseller.com,199982,http://www.jumpseller.com/images/favicon.ico
http://www.autorimshop.com,199981,http://www.autorimshop.com/favicon.ico
http://www.forowarez.net,199980,http://www.forowarez.net/styles/uix/images/favicon.png
http://www.motorola.es,199979,http://www.motorola.es/favicon.ico
http://www.guncity.com,199978,http://www.guncity.com/images/xfavicon.png.pagespeed.ic.CMLaY6wIgW.jpg
http://www.choptones.com,199976,https://www.choptones.com/image/catalog/favicon.png
http://www.mom-xxx.org,199975,http://www.mom-xxx.org/favicon.ico
http://www.ebiologi.net,199974,http://www.ebiologi.net/favicon.ico
http://www.ragan.com,199973,http://www.ragan.com/favicon.ico
http://www.transas.com,199972,http://www.transas.com/favicon.ico
http://www.zweiradteile.net,199971,http://www.zweiradteile.net/favicon.ico
http://www.worms.de,199970,http://www.worms.de/favicon.ico
http://www.wiesbadener-kurier.de,199969,http://www.wiesbadener-kurier.de/images/editions/wk/favicon/favicon-196x196.png
http://www.vwfs.de,199968,http://www.vwfs.de/favicon.ico
http://www.vr-bank-bonn.de,199967,http://www.vr-bank-bonn.de/favicon.ico
http://www.volksbank-erft.de,199966,http://www.volksbank-erft.de/favicon.ico
http://www.volksbank-bi-gt.de,199965,http://www.volksbank-bi-gt.de/favicon.ico
http://www.v-vb.de,199964,http://www.v-vb.de/favicon.ico
http://www.toptarif.de,199961,http://www.toptarif.de/cms/website-logo/57.png
http://www.tegut.com,199960,http://www.tegut.com/favicon.ico
http://www.studentenwerk-dresden.de,199959,http://www.studentenwerk-dresden.de/favicon.ico
http://www.photografix-magazin.de,199958,https://www.photografix-magazin.de/wp-content/uploads/cropped-Logo-Profil-fertig-fertig-Kopie-transparent-32x32.png
http://www.phoenix.de,199957,http://www.phoenix.de/favicon.ico
http://www.parkvogel.de,199956,http://www.parkvogel.de/fileadmin/system/images/favicon.ico
http://www.parkinglist.de,199955,http://www.parkinglist.de/resources/desktop/images/favicon.ico
